Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Body,0.000698393115871022,0.000288945802796678,0.00570476280644027,0,0,0,0.243375116892044,0.000212893207585076,5.24940171471578E-07,-2.46229578713819E-07,0.0001937211842341,2.43146414991933E-07,0.000369983133865988,0,0,0,0,0,0,package://Snapbot_V4/meshes/Body.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Snapbot_V4/meshes/Body.STL,,Body-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Camera_module_1,0.00652656979384509,0.00344579233179434,0.0166383716296387,0,0,0,0.0185738191530636,1.62642913929261E-06,-2.15537782337987E-07,-2.3575284377688E-08,2.16302130147651E-06,-1.07181784470334E-08,2.57241198744282E-06,0,0,0,0,0,0,package://Snapbot_V4/meshes/Camera_module_1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Snapbot_V4/meshes/Camera_module_1.STL,,Camera_module_1^Snapbot_V4-1,Origin_camera_1,Axis_camera_1,camera_1,continuous,0,0,0.0476705257539267,0,0,2.71487279909846,Body,0,0,1,,,,,,,,,,,,
Camera_module_2,-0.0147420954665366,-0.00634624178994907,-7.1679033012334E-05,0,0,0,0.0107178230276788,7.86154794639256E-07,-1.29450197715542E-07,-8.59151647280273E-09,9.89379755343869E-07,-1.0196468194584E-08,8.01777045086329E-07,0,0,0,0,0,0,package://Snapbot_V4/meshes/Camera_module_2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Snapbot_V4/meshes/Camera_module_2.STL,,Camera_module_2^Snapbot_V4-1,Origin_camera_2,Axis_camera_2,camera_2,continuous,0,0,0.0183294742460734,-0.00940777862508657,0.016293068306851,-7.66430506155596E-05,Camera_module_1,0.5,-0.866025403784438,0,,,,,,,,,,,,
Leg_module_1_1,-7.13724657916415E-08,0.000373799301046029,0.0154182546673216,0,0,0,0.0631785349056668,1.7187711929136E-05,-5.83240695477332E-11,-2.19004554231787E-11,1.51262656733829E-05,-2.63262418810457E-08,1.20475796652155E-05,0,0,0,0,0,0,package://Snapbot_V4/meshes/Leg_module_1_1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Snapbot_V4/meshes/Leg_module_1_1.STL,,Copy of Leg_1^Snapbot_V4-1,Origin_leg_1_1,Axis_leg_1_1,leg_1_1,fixed,-0.0389249999999994,-0.067420077684619,0.00800000000000007,1.5707963267949,0,-0.52359877559829,Body,0,0,0,,,,,,,,,,,,
Leg_module_1_2,-0.000290776360641731,0.000350553903850227,0.0424303561818183,0,0,0,0.0824270440491864,2.30529585035524E-05,-3.10286928952129E-09,1.49495155302856E-09,2.12214709599738E-05,-1.38476843679373E-07,2.44663294862975E-05,0,0,0,0,0,0,package://Snapbot_V4/meshes/Leg_module_1_2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Snapbot_V4/meshes/Leg_module_1_2.STL,,Copy of Leg_2^Snapbot_V4-1,Origin_leg_1_2,Axis_leg_1_2,leg_1_2,continuous,0,0,0.03725,0,0,0,Leg_module_1_1,0,1,0,,,,,,,,,,,,
Leg_module_1_3,2.45741484106166E-09,0.000972843111612398,0.0362265364672091,0,0,0,0.0151486232431239,1.00807802365218E-05,4.39144266500018E-12,1.00434444831946E-12,1.39066075750629E-05,-4.89507332017665E-07,4.80921677651482E-06,0,0,0,0,0,0,package://Snapbot_V4/meshes/Leg_module_1_3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Snapbot_V4/meshes/Leg_module_1_3.STL,,Copy of Leg_3^Snapbot_V4-1,Origin_leg_1_3,Axis_leg_1_3,leg_1_3,continuous,0,0.00029999999999997,0.05675,-0.0100573048452913,0,0,Leg_module_1_2,1,0,0,,,,,,,,,,,,
Leg_module_1_4,4.20295677225763E-05,-0.039054256810963,-0.001354432069402,0,0,0,0.0147333532003768,1.15244152883744E-05,4.83944400446421E-12,-7.64742245041825E-11,8.83031900445984E-07,-3.85547013488904E-07,1.19866034928746E-05,0,0,0,0,0,0,package://Snapbot_V4/meshes/Leg_module_1_4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Snapbot_V4/meshes/Leg_module_1_4.STL,,Copy of Leg_4^Snapbot_V4-1,Origin_leg_1_4,Axis_leg_1_4,leg_1_4,continuous,0,-0.000603428117922688,0.0599969655441553,-0.0105798453585739,0,0,Leg_module_1_3,1,0,0,,,,,,,,,,,,
Leg_module_1_4bar,-0.00015304171257538,-0.0147990308191147,0.0229851342034178,0,0,0,0.00683592925491239,2.34158176837936E-06,1.67093420859154E-09,8.89034652601543E-09,1.50934801971931E-06,8.10566623140942E-07,9.1098696306739E-07,0,0,0,0,0,0,package://Snapbot_V4/meshes/Leg_module_1_4bar.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Snapbot_V4/meshes/Leg_module_1_4bar.STL,,Copy of Leg_4bar^Snapbot_V4-1,Origin_leg_1_4bar,Axis_leg_1_4bar,leg_1_4bar,continuous,0,0.00629999999999993,0.0804999999999999,-0.0165784581965256,0,0,Leg_module_1_2,1,0,0,,,,,,,,,,,,
Leg_module_2_1,-6.95517456267281E-08,0.000373796224617955,0.0154182547311469,0,0,0,0.0631785347894754,1.7187711736626E-05,-5.83542950351694E-11,-2.10512182302273E-11,1.5126265640837E-05,-2.6325167749467E-08,1.20475795338245E-05,0,0,0,0,0,0,package://Snapbot_V4/meshes/Leg_module_2_1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Snapbot_V4/meshes/Leg_module_2_1.STL,,Copy of Leg_1^Snapbot_V4-2,Origin_leg_2_1,Axis_leg_2_1,leg_2_1,fixed,0.038925000000001,-0.067420077684618,0.00800000000000001,1.5707963267949,0,0.52359877559831,Body,0,0,0,,,,,,,,,,,,
Leg_module_2_2,-0.000290786260285801,0.000350550447539526,0.0424303491066542,0,0,0,0.0824270292829445,2.30529583873532E-05,-3.10383306587857E-09,1.49529130127085E-09,2.12214701574574E-05,-1.38478939744174E-07,2.44663283938561E-05,0,0,0,0,0,0,package://Snapbot_V4/meshes/Leg_module_2_2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Snapbot_V4/meshes/Leg_module_2_2.STL,,Copy of Leg_2^Snapbot_V4-2,Origin_leg_2_2,Axis_leg_2_2,leg_2_2,continuous,0,0,0.03725,0,0,0,Leg_module_2_1,0,1,0,,,,,,,,,,,,
Leg_module_2_3,6.11768177782857E-10,0.000972841972894583,0.036226536455756,0,0,0,0.0151486232431239,1.00807802750981E-05,4.36350898429944E-12,4.34896925397455E-13,1.39066075568357E-05,-4.89507865435104E-07,4.80921677540979E-06,0,0,0,0,0,0,package://Snapbot_V4/meshes/Leg_module_2_3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Snapbot_V4/meshes/Leg_module_2_3.STL,,Copy of Leg_3^Snapbot_V4-2,Origin_leg_2_3,Axis_leg_2_3,leg_2_3,continuous,0,0.000299999999999996,0.0567499999999999,-0.0100573048453112,0,0,Leg_module_2_2,1,0,0,,,,,,,,,,,,
Leg_module_2_4,4.19939626784271E-05,-0.0390541987134746,-0.00135443548203965,0,0,0,0.0147333946079413,1.15244338360127E-05,1.49965011012464E-11,-7.88683724821111E-11,8.83037398374246E-07,-3.85544909508521E-07,1.19866276521152E-05,0,0,0,0,0,0,package://Snapbot_V4/meshes/Leg_module_2_4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Snapbot_V4/meshes/Leg_module_2_4.STL,,Copy of Leg_4^Snapbot_V4-2,Origin_leg_2_4,Axis_leg_2_4,leg_2_4,continuous,0,-0.000603428117910471,0.0599969655441548,-0.0105798453581945,0,0,Leg_module_2_3,1,0,0,,,,,,,,,,,,
Leg_module_2_4bar,-0.000153041712575172,-0.0147990308191101,0.0229851342034176,0,0,0,0.0068359292549124,2.34158176837936E-06,1.67093420857E-09,8.89034652603457E-09,1.50934801971929E-06,8.10566623140952E-07,9.10986963067417E-07,0,0,0,0,0,0,package://Snapbot_V4/meshes/Leg_module_2_4bar.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Snapbot_V4/meshes/Leg_module_2_4bar.STL,,Copy of Leg_4bar^Snapbot_V4-2,Origin_leg_2_4bar,Axis_leg_2_4bar,leg_2_4bar,continuous,0,0.00629999999999995,0.0805,-0.0165784581965541,0,0,Leg_module_2_2,1,0,0,,,,,,,,,,,,
Leg_module_3_1,-7.06608178473566E-08,0.000373797728506917,0.0154182586742905,0,0,0,0.0631785313638385,1.7187712385433E-05,-5.82311550897306E-11,-2.15519281512708E-11,1.51262640659994E-05,-2.63257064904423E-08,1.20475783729998E-05,0,0,0,0,0,0,package://Snapbot_V4/meshes/Leg_module_3_1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Snapbot_V4/meshes/Leg_module_3_1.STL,,Copy of Leg_1^Snapbot_V4-3,Origin_leg_3_1,Axis_leg_3_1,leg_3_1,fixed,0.0778499999999993,0,0.00800000000000003,1.5707963267949,0,1.5707963267949,Body,0,0,0,,,,,,,,,,,,
Leg_module_3_2,-0.000290780437123685,0.00035055182257299,0.0424303356191464,0,0,0,0.0824272438246167,2.3052992765417E-05,-3.09856152497967E-09,1.49505361213058E-09,2.12215051825377E-05,-1.38478180816314E-07,2.4466395200917E-05,0,0,0,0,0,0,package://Snapbot_V4/meshes/Leg_module_3_2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Snapbot_V4/meshes/Leg_module_3_2.STL,,Copy of Leg_2^Snapbot_V4-3,Origin_leg_3_2,Axis_leg_3_2,leg_3_2,continuous,0,0,0.03725,0,0,0,Leg_module_3_1,0,1,0,,,,,,,,,,,,
Leg_module_3_3,1.53462381557596E-09,0.00170127905765846,0.0361996388039809,0,0,0,0.0151486257339542,1.00807806479728E-05,4.44484345999856E-12,6.186547242046E-13,1.38832412070697E-05,-6.72052692945289E-07,4.83258510265994E-06,0,0,0,0,0,0,package://Snapbot_V4/meshes/Leg_module_3_3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Snapbot_V4/meshes/Leg_module_3_3.STL,,Copy of Leg_3^Snapbot_V4-3,Origin_leg_3_3,Axis_leg_3_3,leg_3_3,continuous,0,0.000300000000000003,0.0567499999999997,0.0100573048452967,0,0,Leg_module_3_2,1,0,0,,,,,,,,,,,,
Leg_module_3_4,4.2049063279227E-05,-0.039076824241083,0.000258194696472008,0,0,0,0.0147334003564446,1.15244339861746E-05,-2.48276737382714E-13,-7.91098093199601E-11,8.70152630317687E-07,7.35395711252574E-08,1.19995131254709E-05,0,0,0,0,0,0,package://Snapbot_V4/meshes/Leg_module_3_4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Snapbot_V4/meshes/Leg_module_3_4.STL,,Copy of Leg_4^Snapbot_V4-3,Origin_leg_3_4,Axis_leg_3_4,leg_3_4,continuous,0,0.000603428117812372,0.0599969655441564,0.0105798453584752,0,0,Leg_module_3_3,1,0,0,,,,,,,,,,,,
Leg_module_3_4bar,-0.000153041712520068,-0.0140289201388825,0.0234631009730388,0,0,0,0.00683592925491239,2.34158176837936E-06,1.96473826365662E-09,8.83006715898015E-09,1.56240282628846E-06,7.88959763188745E-07,8.57932156498236E-07,0,0,0,0,0,0,package://Snapbot_V4/meshes/Leg_module_3_4bar.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Snapbot_V4/meshes/Leg_module_3_4bar.STL,,Copy of Leg_4bar^Snapbot_V4-3,Origin_leg_3_4bar,Axis_leg_3_4bar,leg_3_4bar,continuous,0,0.00629999999999995,0.0804999999999999,0.0165784581965428,0,0,Leg_module_3_2,1,0,0,,,,,,,,,,,,
Leg_module_4_1,-7.14195381237848E-08,0.000373799284010597,0.0154182546427434,0,0,0,0.0631785349539091,1.71877118801813E-05,-5.8296210718309E-11,-2.19264106429705E-11,1.51262657263492E-05,-2.63262530129922E-08,1.20475796631155E-05,0,0,0,0,0,0,package://Snapbot_V4/meshes/Leg_module_4_1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Snapbot_V4/meshes/Leg_module_4_1.STL,,Copy of Leg_1^Snapbot_V4-4,Origin_leg_4_1,Axis_leg_4_1,leg_4_1,fixed,0.0389249999999999,0.0674200776846187,0.00800000000000003,1.5707963267949,0,2.6179938779915,Body,0,0,0,,,,,,,,,,,,
Leg_module_4_2,-0.000290776360642918,0.000350553903847839,0.0424303561817777,0,0,0,0.0824270440490109,2.30529585034879E-05,-3.10286926634698E-09,1.49495155290744E-09,2.12214709599619E-05,-1.38476843680271E-07,2.44663294862253E-05,0,0,0,0,0,0,package://Snapbot_V4/meshes/Leg_module_4_2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Snapbot_V4/meshes/Leg_module_4_2.STL,,Copy of Leg_2^Snapbot_V4-4,Origin_leg_4_2,Axis_leg_4_2,leg_4_2,continuous,0,0,0.03725,0,0,0,Leg_module_4_1,0,1,0,,,,,,,,,,,,
Leg_module_4_3,2.45741477167272E-09,0.000972843111612255,0.0362265364672089,0,0,0,0.0151486232431239,1.00807802365218E-05,4.39144265102083E-12,1.00434444471957E-12,1.39066075750629E-05,-4.89507332017624E-07,4.80921677651479E-06,0,0,0,0,0,0,package://Snapbot_V4/meshes/Leg_module_4_3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Snapbot_V4/meshes/Leg_module_4_3.STL,,Copy of Leg_3^Snapbot_V4-4,Origin_leg_4_3,Axis_leg_4_3,leg_4_3,continuous,0,0.000300000000000803,0.05675,-0.0100573048452958,0,0,Leg_module_4_2,1,0,0,,,,,,,,,,,,
Leg_module_4_4,4.20189435796081E-05,-0.0390541968984776,-0.00135444873309862,0,0,0,0.0147334042546387,1.15244338214515E-05,1.21539074814729E-11,-7.84833481353994E-11,8.83037831643497E-07,-3.85543788848207E-07,1.19866281874056E-05,0,0,0,0,0,0,package://Snapbot_V4/meshes/Leg_module_4_4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Snapbot_V4/meshes/Leg_module_4_4.STL,,Copy of Leg_4^Snapbot_V4-4,Origin_leg_4_4,Axis_leg_4_4,leg_4_4,continuous,0,-0.00060342811792294,0.0599969655441553,-0.0105798453585994,0,0,Leg_module_4_3,1,0,0,,,,,,,,,,,,
Leg_module_4_4bar,4.695828742457E-05,-0.0147990308191147,0.0229851342034178,0,0,0,0.0068359292549124,2.34158176837936E-06,1.67093420859125E-09,8.89034652601559E-09,1.50934801971931E-06,8.10566623140942E-07,9.10986963067391E-07,0,0,0,0,0,0,package://Snapbot_V4/meshes/Leg_module_4_4bar.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Snapbot_V4/meshes/Leg_module_4_4bar.STL,,Copy of Leg_4bar^Snapbot_V4-4,Origin_leg_4_4bar,Axis_leg_4_4bar,leg_4_4bar,continuous,0,0.00629999999999998,0.0804999999999999,-0.0165784581965504,0,0,Leg_module_4_2,1,0,0,,,,,,,,,,,,
Leg_module_5_1,-7.13831554283173E-08,0.00037379926348256,0.0154182547378585,0,0,0,0.0631785347734705,1.71877118759835E-05,-5.83199662802775E-11,-2.19039917603225E-11,1.51262656830483E-05,-2.6326270877883E-08,1.204757964373E-05,0,0,0,0,0,0,package://Snapbot_V4/meshes/Leg_module_5_1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Snapbot_V4/meshes/Leg_module_5_1.STL,,Copy of Leg_1^Snapbot_V4-5,Origin_leg_5_1,Axis_leg_5_1,leg_5_1,fixed,-0.0389250000000003,0.0674200776846184,0.00799999999999998,-1.5707963267949,0,0.523598775598304,Body,0,0,0,,,,,,,,,,,,
Leg_module_5_2,-0.000290786260284712,0.000350550447562069,0.0424303491067748,0,0,0,0.0824270292834939,2.30529583875548E-05,-3.1038330060668E-09,1.49529130076009E-09,2.12214701575006E-05,-1.38478939738648E-07,2.44663283940795E-05,0,0,0,0,0,0,package://Snapbot_V4/meshes/Leg_module_5_2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Snapbot_V4/meshes/Leg_module_5_2.STL,,Copy of Leg_2^Snapbot_V4-5,Origin_leg_5_2,Axis_leg_5_2,leg_5_2,continuous,0,0,0.03725,0,0,3.14159265358979,Leg_module_5_1,0,1,0,,,,,,,,,,,,
Leg_module_5_3,6.11807840500411E-10,0.00097284197288168,0.036226536455756,0,0,0,0.0151486232431238,1.00807802750981E-05,4.36350887652112E-12,4.34896918409433E-13,1.39066075568356E-05,-4.89507865435267E-07,4.8092167754098E-06,0,0,0,0,0,0,package://Snapbot_V4/meshes/Leg_module_5_3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Snapbot_V4/meshes/Leg_module_5_3.STL,,Copy of Leg_3^Snapbot_V4-5,Origin_leg_5_3,Axis_leg_5_3,leg_5_3,continuous,0,0.000300000000000029,0.05675,-0.0100573048452937,0,0,Leg_module_5_2,1,0,0,,,,,,,,,,,,
Leg_module_5_4,4.2006990863791E-05,-0.0390542107305775,-0.00135443895336307,0,0,0,0.0147333714620578,1.15244296621137E-05,1.33713862876524E-11,-7.93133413754874E-11,8.83035632388419E-07,-3.85544318353051E-07,1.19866218828097E-05,0,0,0,0,0,0,package://Snapbot_V4/meshes/Leg_module_5_4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Snapbot_V4/meshes/Leg_module_5_4.STL,,Copy of Leg_4^Snapbot_V4-5,Origin_leg_5_4,Axis_leg_5_4,leg_5_4,continuous,0,-0.000603428117922931,0.0599969655441552,-0.0105798453598466,0,0,Leg_module_5_3,1,0,0,,,,,,,,,,,,
Leg_module_5_4bar,-0.000153041712575283,-0.0147990308191147,0.0229851342034178,0,0,0,0.0068359292549124,2.34158176837936E-06,1.67093420859295E-09,8.89034652601342E-09,1.50934801971931E-06,8.10566623140944E-07,9.10986963067393E-07,0,0,0,0,0,0,package://Snapbot_V4/meshes/Leg_module_5_4bar.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Snapbot_V4/meshes/Leg_module_5_4bar.STL,,Copy of Leg_4bar^Snapbot_V4-5,Origin_leg_5_4bar,Axis_leg_5_4bar,leg_5_4bar,continuous,0,0.00629999999999998,0.0804999999999999,-0.0165784581978622,0,0,Leg_module_5_2,1,0,0,,,,,,,,,,,,
Leg_module_6_1,-7.06897977734038E-08,-0.000373797370537153,-0.0154182586424687,0,0,0,0.0631785314514076,1.7187712394458E-05,5.81974168717602E-11,2.15669260542255E-11,1.51262641031604E-05,-2.6325612316197E-08,1.20475784011088E-05,0,0,0,0,0,0,package://Snapbot_V4/meshes/Leg_module_6_1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Snapbot_V4/meshes/Leg_module_6_1.STL,,Copy of Leg_1^Snapbot_V4-6,Origin_leg_6_1,Axis_leg_6_1,leg_6_1,fixed,-0.0778499999999996,0,0.00800000000000001,-1.57079635260447,0,-1.5707963267949,Body,0,0,0,,,,,,,,,,,,
Leg_module_6_2,-0.000290780437134332,-0.000350551822552675,-0.042430335619155,0,0,0,0.0824272438246501,2.30529927654273E-05,3.09856153331135E-09,-1.49505361016718E-09,2.12215051825407E-05,-1.38478180823055E-07,2.44663952009307E-05,0,0,0,0,0,0,package://Snapbot_V4/meshes/Leg_module_6_2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Snapbot_V4/meshes/Leg_module_6_2.STL,,Copy of Leg_2^Snapbot_V4-6,Origin_leg_6_2,Axis_leg_6_2,leg_6_2,continuous,0,0,-0.03725,0,0,0,Leg_module_6_1,0,1,0,,,,,,,,,,,,
Leg_module_6_3,1.5346192197083E-09,-0.000972842396856038,-0.0362265341654647,0,0,0,0.0151486257339541,1.00807806479728E-05,-4.43150114610236E-12,-7.07929839569402E-13,1.39066086911659E-05,-4.89507630381989E-07,4.80921761856375E-06,0,0,0,0,0,0,package://Snapbot_V4/meshes/Leg_module_6_3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Snapbot_V4/meshes/Leg_module_6_3.STL,,Copy of Leg_3^Snapbot_V4-6,Origin_leg_6_3,Axis_leg_6_3,leg_6_3,continuous,0,-0.000300000000000019,-0.0567500000000001,-0.0100573048452744,0,0,Leg_module_6_2,1,0,0,,,,,,,,,,,,
Leg_module_6_4,4.20620949157934E-05,0.0390542097616362,0.00135443910882849,0,0,0,0.0147333772016279,1.15244298224563E-05,-1.39010916864133E-12,7.94739105086432E-11,8.83036037124614E-07,-3.85545325123704E-07,1.19866221928612E-05,0,0,0,0,0,0,package://Snapbot_V4/meshes/Leg_module_6_4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Snapbot_V4/meshes/Leg_module_6_4.STL,,Copy of Leg_4^Snapbot_V4-6,Origin_leg_6_4,Axis_leg_6_4,leg_6_4,continuous,0,0.00060343,-0.059997,-0.01058,0,0,Leg_module_6_3,1,0,0,,,,,,,,,,,,
Leg_module_6_4bar,-0.000153041712575376,0.014799030819114,-0.0229851342034177,0,0,0,0.0068359292549124,2.34158176837936E-06,-1.67093420859224E-09,-8.8903465260145E-09,1.50934801971931E-06,8.10566623140944E-07,9.10986963067394E-07,0,0,0,0,0,0,package://Snapbot_V4/meshes/Leg_module_6_4bar.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Snapbot_V4/meshes/Leg_module_6_4bar.STL,,Copy of Leg_4bar^Snapbot_V4-6,Origin_leg_6_4bar,Axis_leg_6_4bar,leg_6_4bar,continuous,0,-0.00629999999999998,-0.0805,-0.0165784581965372,0,0,Leg_module_6_2,1,0,0,,,,,,,,,,,,
